,Denominacao,Area
0,Sitio Piloes,63727608.0
1,"Ã¡rea de 28.097,14m2 Rio Pequeno",28097140.0
2,T.I. YANOMAMI,9664975.48
3,Sitio Rua Nova,9316004.0
4,T.I. VALE DO JAVARI,8544482.2728
5,T.I. ALTO RIO NEGRO,7999381.1683
6,Fazenda California,7431634.2
7,FAZENDA CACHEIRA,6957500.0
8,Fazendas Brejinho E Raizama,6245139.3
9,T.I. MENKRAGNOTI,4914255.7334
10,T.I. Kayapó,3284004.9719
11,T.I. Parque do Tumucumaque,3009953.5539
12,Fazenda Duas Barras,2737781.4
13,T.I. Parque Indígena do Xingú,2642003.9374
14,T.I. WAIMIRI-ATROARI,2585911.5698
15,T.I. Munduruku,2381795.7765
16,Pf Guajara Mirim Gl Samauma,1934900.0
17,T.I. URU EU WAU WAU,1867117.0
18,T.I. Médio Rio Negro I,1776138.9968
19,T.I. RAPOSA TERRA DO SOL,1747554.7832
