,Denominacao,Area,Municipio,UF
0,Sitio Boa Esperanca,0.0001,TIANGUÁ,CE
1,S. P. Branco,0.0001,BREJO SANTO,CE
2,Sao Francisco do Venancio,0.0001,ITAPAJÉ,CE
3,Bom Principio,0.0001,MARTINÓPOLE,CE
4,Sitio Comum,0.0001,VIÇOSA DO CEARÁ,CE
5,LOTE 21,0.0001,GURUPI,TO
6,Mat 56 572,0.0001,MATO CASTELHANO,RS
7,Sitio De Laser Faz. Fortaleza,0.0001,CIDREIRA,RS
8,Não Informado,0.0001,PALMARES DO SUL,RS
9,SD,0.0001,LAVRAS DO SUL,RS
10,SD,0.0001,LAVRAS DO SUL,RS
11,SD,0.0001,LAVRAS DO SUL,RS
12,SD,0.0001,LAVRAS DO SUL,RS
13,SD,0.0001,LAVRAS DO SUL,RS
14,SD,0.0001,LAVRAS DO SUL,RS
15,SD,0.0001,LAVRAS DO SUL,RS
16,SALGADINHO E SOARES,0.0001,TACARATU,PE
17,SITIO IMBIRIBEIRA,0.0001,BONITO,PE
18,Matr 6639,0.0001,IPUAÇU,SC
19,MAT. 3256,0.0001,ARVOREDO,SC
